Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BIGC","BIGCOMMERCE HOLDINGS INC SERIES","Information Technology","Equity","13,448,000.76","0.03","13,448,000.76","1,441,372.00","9.33","United States","NASDAQ","USD","1.00","USD","-"
"INTA","INTAPP INC","Information Technology","Equity","13,439,098.00","0.03","13,439,098.00","322,900.00","41.62","United States","NASDAQ","USD","1.00","USD","-"
"ATEX","ANTERIX INC","Communication","Equity","13,412,781.00","0.03","13,412,781.00","411,435.00","32.60","United States","NASDAQ","USD","1.00","USD","-"
"VMEO","VIMEO INC","Communication","Equity","13,351,318.35","0.03","13,351,318.35","3,201,755.00","4.17","United States","NASDAQ","USD","1.00","USD","-"
"CLBK","COLUMBIA FINANCIAL INC","Financials","Equity","13,345,728.00","0.03","13,345,728.00","751,872.00","17.75","United States","NASDAQ","USD","1.00","USD","-"
"SBGI","SINCLAIR CLASS A","Real Estate","Equity","13,347,096.00","0.03","13,347,096.00","899,400.00","14.84","United States","NASDAQ","USD","1.00","USD","-"
"ETD","ETHAN ALLEN INTERIORS INC","Consumer Discretionary","Equity","13,336,021.02","0.03","13,336,021.02","506,303.00","26.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AORT","ARTIVION INC","Health Care","Equity","13,305,984.89","0.03","13,305,984.89","870,241.00","15.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BASE","COUCHBASE INC","Information Technology","Equity","13,266,901.68","0.03","13,266,901.68","630,856.00","21.03","United States","NASDAQ","USD","1.00","USD","-"
"BBSI","BARRETT BUSINESS SERVICES INC","Industrials","Equity","13,269,633.30","0.03","13,269,633.30","152,262.00","87.15","United States","NASDAQ","USD","1.00","USD","-"
"SCS","STEELCASE INC CLASS A","Industrials","Equity","13,247,262.99","0.03","13,247,262.99","1,928,277.00","6.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YORW","YORK WATER","Utilities","Equity","13,202,693.70","0.03","13,202,693.70","306,327.00","43.10","United States","NASDAQ","USD","1.00","USD","-"
"EB","EVENTBRITE CLASS A INC","Communication","Equity","13,184,384.07","0.03","13,184,384.07","1,737,073.00","7.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KE","KIMBALL ELECTRONICS INC","Information Technology","Equity","13,161,510.32","0.03","13,161,510.32","518,987.00","25.36","United States","NASDAQ","USD","1.00","USD","-"
"BRSP","BRIGHTSPIRE CAPITAL INC CLASS A","Financials","Equity","13,127,461.38","0.03","13,127,461.38","2,093,694.00","6.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FPI","FARMLAND PARTNERS INC","Real Estate","Equity","13,111,976.64","0.03","13,111,976.64","1,114,964.00","11.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPAY","REPAY HOLDINGS CORP CLASS A","Financials","Equity","13,108,851.36","0.03","13,108,851.36","1,968,296.00","6.66","United States","NASDAQ","USD","1.00","USD","-"
"CIR","CIRCOR INTERNATIONAL INC","Industrials","Equity","13,081,515.19","0.03","13,081,515.19","413,057.00","31.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OPK","OPKO HEALTH INC","Health Care","Equity","13,058,408.55","0.03","13,058,408.55","9,005,799.00","1.45","United States","NASDAQ","USD","1.00","USD","-"
"HSTM","HEALTHSTREAM INC","Health Care","Equity","13,014,048.20","0.03","13,014,048.20","540,002.00","24.10","United States","NASDAQ","USD","1.00","USD","-"
"IIIN","INSTEEL INDUSTRIES INC","Industrials","Equity","13,000,738.10","0.03","13,000,738.10","413,378.00","31.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTTR","MATTERPORT INC CLASS A","Information Technology","Equity","12,999,316.41","0.03","12,999,316.41","4,980,581.00","2.61","United States","NASDAQ","USD","1.00","USD","-"
"CVGW","CALAVO GROWERS INC","Consumer Staples","Equity","12,990,708.72","0.03","12,990,708.72","388,014.00","33.48","United States","NASDAQ","USD","1.00","USD","-"
"NAPA","DUCKHORN PORTFOLIO INC","Consumer Staples","Equity","12,966,380.00","0.03","12,966,380.00","926,170.00","14.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HAYN","HAYNES INTERNATIONAL INC","Materials","Equity","12,937,879.98","0.02","12,937,879.98","273,297.00","47.34","United States","NASDAQ","USD","1.00","USD","-"
"CTBI","COMMUNITY TRUST BANCORP INC","Financials","Equity","12,924,633.15","0.02","12,924,633.15","356,345.00","36.27","United States","NASDAQ","USD","1.00","USD","-"
"HFWA","HERITAGE FINANCIAL CORP","Financials","Equity","12,906,117.18","0.02","12,906,117.18","724,249.00","17.82","United States","NASDAQ","USD","1.00","USD","-"
"REX","REX AMERICAN RESOURCES CORP","Energy","Equity","12,875,397.84","0.02","12,875,397.84","375,048.00","34.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DCOM","DIME COMMUNITY BANCSHARES INC","Financials","Equity","12,844,915.80","0.02","12,844,915.80","734,835.00","17.48","United States","NASDAQ","USD","1.00","USD","-"
"UBA","URSTADT BIDDLE PROPERTIES REIT INC","Real Estate","Equity","12,846,140.00","0.02","12,846,140.00","642,307.00","20.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UVSP","UNIVEST FINANCIAL CORP","Financials","Equity","12,782,264.98","0.02","12,782,264.98","670,633.00","19.06","United States","NASDAQ","USD","1.00","USD","-"
"SANA","SANA BIOTECHNOLOGY INC","Health Care","Equity","12,713,511.74","0.02","12,713,511.74","1,977,218.00","6.43","United States","NASDAQ","USD","1.00","USD","-"
"BANC","BANC OF CALIFORNIA INC","Financials","Equity","12,689,331.34","0.02","12,689,331.34","1,085,486.00","11.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UHT","UNIVERSAL HEALTH REALTY INCOME TRU","Real Estate","Equity","12,654,826.80","0.02","12,654,826.80","279,048.00","45.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EGLE","EAGLE BULK SHIPPING INC","Industrials","Equity","12,651,513.60","0.02","12,651,513.60","299,515.00","42.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACRS","ACLARIS THERAPEUTICS INC","Health Care","Equity","12,637,963.14","0.02","12,637,963.14","1,437,766.00","8.79","United States","NASDAQ","USD","1.00","USD","-"
"CEVA","CEVA INC","Information Technology","Equity","12,583,082.16","0.02","12,583,082.16","503,928.00","24.97","United States","NASDAQ","USD","1.00","USD","-"
"BLX","BANCO LATINOAMERICANO DE COMERCIO","Financials","Equity","12,559,341.60","0.02","12,559,341.60","615,654.00","20.40","Panama","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GRC","GORMAN-RUPP","Industrials","Equity","12,540,103.95","0.02","12,540,103.95","483,241.00","25.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POWL","POWELL INDUSTRIES INC","Industrials","Equity","12,514,395.15","0.02","12,514,395.15","202,991.00","61.65","United States","NASDAQ","USD","1.00","USD","-"
"TBI","TRUEBLUE INC","Industrials","Equity","12,507,296.40","0.02","12,507,296.40","716,340.00","17.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HY","HYSTER YALE MATERIALS HANDLING INC","Industrials","Equity","12,451,357.77","0.02","12,451,357.77","241,727.00","51.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TITN","TITAN MACHINERY INC","Industrials","Equity","12,451,424.16","0.02","12,451,424.16","446,768.00","27.87","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","12,454,315.50","0.02","12,454,315.50","754,807.00","16.50","United States","NASDAQ","USD","1.00","USD","-"
"CNDT","CONDUENT INC","Industrials","Equity","12,446,063.50","0.02","12,446,063.50","3,829,558.00","3.25","United States","NASDAQ","USD","1.00","USD","-"
"AMWL","AMERICAN WELL CORP CLASS A","Health Care","Equity","12,444,312.32","0.02","12,444,312.32","5,100,128.00","2.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WTTR","SELECT WATER SOLUTIONS INC CLASS A","Energy","Equity","12,416,492.52","0.02","12,416,492.52","1,604,198.00","7.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTW","MANITOWOC INC","Industrials","Equity","12,384,867.74","0.02","12,384,867.74","765,443.00","16.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CASS","CASS INFORMATION SYSTEMS INC","Financials","Equity","12,363,212.16","0.02","12,363,212.16","307,008.00","40.27","United States","NASDAQ","USD","1.00","USD","-"
"CSTL","CASTLE BIOSCIENCES INC","Health Care","Equity","12,360,755.84","0.02","12,360,755.84","543,808.00","22.73","United States","NASDAQ","USD","1.00","USD","-"
"GPRO","GOPRO INC CLASS A","Consumer Discretionary","Equity","12,337,040.43","0.02","12,337,040.43","2,875,767.00","4.29","United States","NASDAQ","USD","1.00","USD","-"
"FDMT","4D MOLECULAR THERAPEUTICS INC","Health Care","Equity","12,308,856.12","0.02","12,308,856.12","670,417.00","18.36","United States","NASDAQ","USD","1.00","USD","-"
"CNOB","CONNECTONE BANCORP INC","Financials","Equity","12,294,732.80","0.02","12,294,732.80","835,240.00","14.72","United States","NASDAQ","USD","1.00","USD","-"
"OSBC","OLD SECOND BANCORP INC","Financials","Equity","12,295,235.05","0.02","12,295,235.05","949,439.00","12.95","United States","NASDAQ","USD","1.00","USD","-"
"KNTK","KINETIK HOLDINGS INC CLASS A","Energy","Equity","12,298,080.66","0.02","12,298,080.66","374,713.00","32.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESTE","EARTHSTONE ENERGY INC CLASS A","Energy","Equity","12,275,615.38","0.02","12,275,615.38","964,306.00","12.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BALY","BALLY S CORP","Consumer Discretionary","Equity","12,175,922.36","0.02","12,175,922.36","794,773.00","15.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFC","PREMIER FINANCIAL CORP","Financials","Equity","12,176,481.24","0.02","12,176,481.24","797,412.00","15.27","United States","NASDAQ","USD","1.00","USD","-"
"RES","RPC INC","Energy","Equity","12,171,662.91","0.02","12,171,662.91","1,660,527.00","7.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
